case_name,mass_eV,A_unit,phi_amp_max,Rtau_max_unit,L_peak,nphi,Lcut,spectrum_ratio_at_peak,phi_needed_target_1,ratio_phi_needed_over_phi_amp_max,phi_needed_target_0.1,phi_needed_target_10
nphi_2_no_cut,2.0309176209047306e-30,-4015721579.3411074,35463.48688785832,1.94127606763433e+19,356,2.0,,1.203816001329086,2.269636722772066e-10,6.39992544993968e-15,7.177221505119878e-11,7.177221505119878e-10
nphi_2_no_cut,3.4551072945922325e-30,-3750917803.223794,35540.83846494142,1.6936950029291596e+19,356,2.0,,1.203816001329086,2.429866406847793e-10,6.836829157096808e-15,7.683912255568386e-11,7.683912255568385e-10
nphi_2_no_cut,5.878016072274924e-30,5947875631.44551,34913.456244120105,4.258766896838694e+19,356,2.0,,1.203816001329086,1.5323503263442965e-10,4.388996367560616e-15,4.845717204550295e-11,4.845717204550295e-10
nphi_2_no_cut,1e-29,5847092972.245209,34305.71125297062,4.115665881833334e+19,356,2.0,,1.203816001329086,1.5587624838811256e-10,4.543740464632251e-15,4.9292397802858574e-11,4.929239780285858e-10
nphi_2_no_cut,1.7012542798525858e-29,3012473655.0639086,33438.01004611117,1.0924627229552062e+19,356,2.0,,1.203816001329086,3.025496720802845e-10,9.048076475336514e-15,9.567460691107526e-11,9.567460691107524e-10
nphi_2_no_cut,2.89426612471674e-29,-1429564348.450455,32443.80484039574,2.4601836588766725e+18,356,2.0,,1.203816001329086,6.375529142693007e-10,1.9650990918163963e-14,2.0161193379690558e-10,2.0161193379690555e-09
nphi_2_no_cut,4.923882631706752e-29,-1683875599.3636212,31174.218698666704,3.413344472449422e+18,356,2.0,,1.203816001329086,5.412649941804081e-10,1.7362584108757716e-14,1.7116301993278722e-10,1.7116301993278722e-09
nphi_2_no_cut,8.376776400682924e-29,-6996192547.614638,29692.46757277054,5.892283290699586e+19,356,2.0,,1.203816001329086,1.3027413272106592e-10,4.387447166584893e-15,4.1196297960163724e-11,4.119629796016372e-10
nphi_2_no_cut,1.4251026703029963e-28,-905708374.6202744,27996.455704832708,9.87499486949034e+17,356,2.0,,1.203816001329086,1.0063094722649584e-09,3.5944173893813663e-14,3.18222996335931e-10,3.1822299633593094e-09
nphi_2_no_cut,2.4244620170823407e-28,-175776521.27101412,26132.756370924297,3.719476698003383e+16,356,2.0,,1.203816001329086,5.185123188806542e-09,1.9841470663139037e-13,1.6396799225183955e-09,1.6396799225183954e-08
nphi_2_no_cut,4.124626382901365e-28,5601892846.67588,24153.108286591185,3.777719487289927e+19,356,2.0,,1.203816001329086,1.6269909857895852e-10,6.736155721592255e-15,5.144997247657735e-11,5.144997247657734e-10
nphi_2_no_cut,7.017038286703837e-28,6999751049.4014,22121.246137622013,5.89827884697355e+19,356,2.0,,1.203816001329086,1.3020790454655156e-10,5.8861017022501536e-15,4.117535477248967e-11,4.1175354772489674e-10
nphi_2_no_cut,1.1937766417144358e-27,10127134845.424482,20095.009811562377,1.2346199695963944e+20,356,2.0,,1.203816001329086,8.999810216824254e-11,4.478629421542205e-15,2.8459898794418477e-11,2.8459898794418474e-10
nphi_2_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,1.4699023201304175e+20,356,2.0,,1.203816001329086,8.248135032688129e-11,4.550728760933382e-15,2.6082893151921857e-11,2.608289315192186e-10
nphi_2_no_cut,3.455107294592232e-27,-4336727160.012378,16250.260646483768,2.264041126205206e+19,356,2.0,,1.203816001329086,2.1016376702090713e-10,1.2932947451915633e-14,6.645961854270466e-11,6.645961854270466e-10
nphi_2_no_cut,5.878016072274924e-27,13935403275.476799,14497.44448872209,2.3377560749064772e+20,356,2.0,,1.203816001329086,6.540341161808949e-11,4.511375206090175e-15,2.068237474586814e-11,2.0682374745868143e-10
nphi_2_no_cut,1e-26,-2632126036.501822,12881.91649163101,8.340142557438242e+18,356,2.0,,1.203816001329086,3.462687211214974e-10,2.6880217811259503e-14,1.0949978412175858e-10,1.0949978412175858e-09
nphi_3_Lcut_800,1e-35,-195.4023529707972,113801412.91373985,70962.10151912028,389,3.0,800.0,1.8585185082089235,0.0037539351493562096,3.298671829497977e-11,0.001187098526052999,0.01187098526052999
nphi_3_Lcut_800,1.7012542798525996e-35,-565.5464092138668,66892654.86632268,594433.6538177498,389,3.0,800.0,1.8585185082089235,0.0012970248756483463,1.9389645667978077e-11,0.00041015527889454363,0.0041015527889454355
nphi_3_Lcut_800,2.89426612471674e-35,-1636.841689175934,39319612.510433145,4979437.0427481085,389,3.0,800.0,1.8585185082089235,0.0004481360451255845,1.1397265041884001e-11,0.00014171306042168446,0.0014171306042168447
nphi_3_Lcut_800,4.923882631706751e-35,-4737.453435648046,23112135.628399014,41711595.19293407,389,3.0,800.0,1.8585185082089235,0.0001548358777659719,6.699332344507249e-12,4.8963403725189475e-05,0.0004896340372518948
nphi_3_Lcut_800,8.376776400682855e-35,-13711.444315491368,13585357.612748396,349408365.7573155,389,3.0,800.0,1.8585185082089235,5.349748313933896e-05,3.937878167383488e-12,1.6917389580676615e-05,0.00016917389580676612
