case_name,mass_eV,A_unit,phi_amp_max,A_tau_eff,L,Claa_limit,patchy_power_if_phi_amp_max,patchy_budget_fraction,template_scale_limit,genuine_shape_toy
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,13,3.452299619329443e-06,6.526162412378919e+16,1.8903812333781528e+22,5.289938253422978e-23,2.3076923076923076e-09
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,14,2.9919930034188506e-06,6.7158411390500824e+16,2.2446045600294235e+22,4.4551277218597984e-23,2.142857142857143e-09
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,15,2.6179938779914943e-06,6.910341687589553e+16,2.6395560912812813e+22,3.788515816364351e-23,2e-09
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,16,2.309994598227789e-06,7.109764243548501e+16,3.0778272161342106e+22,3.249045283497143e-23,1.8750000000000002e-09
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,17,2.0533285317580345e-06,7.314210391012762e+16,3.5621237799439846e+22,2.8073140120238195e-23,1.7647058823529414e-09
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,18,1.8371886863098205e-06,7.523783111747182e+16,4.0952696736117305e+22,2.4418416360797862e-23,1.666666666666667e-09
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,19,1.6534698176788385e-06,7.738586783606387e+16,4.680210488794958e+22,2.136656038001137e-23,1.5789473684210527e-09
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,20,1.4959965017094253e-06,7.958727178192158e+16,5.320017238742194e+22,1.8796931572282443e-23,1.5e-09
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,21,1.3599968197358411e-06,8.184311457736869e+16,6.017890144277358e+22,1.6617119555612666e-23,1.4285714285714286e-09
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,22,1.2417362267153333e-06,8.415448171193221e+16,6.777162484382001e+22,1.4755437873955422e-23,1.3636363636363637e-09
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,23,1.1382582078223888e-06,8.652247249509637e+16,7.601304510742182e+22,1.3155636622461283e-23,1.3043478260869568e-09
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,24,1.0471975511965976e-06,8.894820000071546e+16,8.493927425544236e+22,1.177311683865637e-23,1.25e-09
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,25,9.66643893412244e-07,9.143279100287934e+16,9.458787421717675e+22,1.0572179661253074e-23,1.2e-09
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,26,8.950406420483741e-07,9.397738590303461e+16,1.0499789784736438e+23,9.524000199067811e-24,1.1538461538461538e-09
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,27,8.311091676163474e-07,9.6583138648157e+16,1.1620993054999151e+23,8.60511657882643e-24,1.111111111111111e-09
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,28,7.737912939876337e-07,9.925121663977627e+16,1.2826613249717236e+23,7.796290264088574e-24,1.0714285714285715e-09
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,29,7.222052077217915e-07,1.01982800633656e+17,1.4121028143145418e+23,7.081637327416678e-24,1.0344827586206898e-09
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,30,6.756113233526437e-07,1.0477908462992595e+17,1.5508781603891978e+23,6.447959778794272e-24,1e-09
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,31,6.333856156431035e-07,1.0764127575347528e+17,1.6994587987948305e+23,5.884226206067185e-24,9.677419354838711e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,32,5.949986086344305e-07,1.1057059412440662e+17,1.8583336585975385e+23,5.381164977416852e-24,9.375000000000001e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,33,5.59998690479464e-07,1.1356827271836142e+17,2.0280096123283015e+23,4.930943097710113e-24,9.090909090909092e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,34,5.279987653092089e-07,1.1663555721652046e+17,2.2090119310831313e+23,4.526910814418626e-24,8.823529411764707e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,35,4.986655005698085e-07,1.1977370584509466e+17,2.401884744547863e+23,4.163397108333117e-24,8.571428571428572e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,36,4.717106086471161e-07,1.2298398920411402e+17,2.607191505758939e+23,3.835544868074068e-24,8.333333333333335e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,37,4.4688373450779417e-07,1.262676900853341e+17,2.8255154604006255e+23,3.5391772369145395e-24,8.108108108108109e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,38,4.239666199176509e-07,1.2962610327907392e+17,3.057460120427684e+23,3.270688612808849e-24,7.894736842105264e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,39,4.0276828892176834e-07,1.330605353698105e+17,3.303649741791254e+23,3.026955271165628e-24,7.692307692307692e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,40,3.8312105531582843e-07,1.3657230452034867e+17,3.5647298060338756e+23,2.805261701201982e-24,7.5e-10
