case_name,mass_eV,A_unit,A_unit_abs,Rtau_max_unit,sqrt_Rtau_max_unit,spectrum_ratio_at_peak,sqrt_spectrum_ratio_at_peak,phi_needed,phi_amp_max,ratio_phi_needed_over_phi_amp_max,log10_ratio,L_peak,nphi,Lcut
nphi_1_Lcut_800,5.878016072274924e-27,13935403275.476799,13935403275.476799,2.4338713979924903e+20,15600869841.10979,1.2533101145711985,1.1195133382730187,6.4098990004064e-11,15748.702119865331,4.07011254109695e-15,-14.390393582101153,340,1.0,800.0
nphi_1_Lcut_800,1e-26,-2632126036.501822,2632126036.501822,8.683042103330194e+18,2946700205.879484,1.2533101145711985,1.1195133382730187,3.39362653182269e-10,13805.832311163542,2.4581107863222182e-14,-13.609398547485304,340,1.0,800.0
nphi_1_no_cut,1e-35,-195.4023529707972,195.4023529707972,40152.16908739088,200.380061601425,1.0515972300164098,1.0254741488776837,0.004990516481570382,113801412.34471868,4.3852851900058017e-11,-10.35800215773276,330,1.0,nan
nphi_1_no_cut,1.7012542798525996e-35,-565.5464092138668,565.5464092138668,336345.740449849,579.9532226394202,1.0515972300164098,1.0254741488776837,0.0017242769950460974,66892655.150037825,2.577677610761011e-11,-10.588771400645443,330,1.0,nan
nphi_1_no_cut,2.89426612471674e-35,-1636.841689175934,1636.841689175934,2817492.6308597047,1678.538838055201,1.0515972300164098,1.0254741488776837,0.0005957562478319692,39319612.53915709,1.515163068401743e-11,-10.819540623996032,330,1.0,nan
nphi_1_no_cut,4.923882631706751e-35,-4737.453435648046,4737.453435648046,23601485.683738135,4858.136029768839,1.0515972300164098,1.0254741488776837,0.0002058402633998666,23112135.777665466,8.90615499060807e-12,-11.050309751268559,330,1.0,nan
nphi_1_no_cut,8.376776400682855e-35,-13711.444315491368,13711.444315491368,197704175.63883013,14060.731689312264,1.0515972300164098,1.0254741488776837,7.112005421169599e-05,13585358.508276984,5.2350517042568695e-12,-11.281079024632215,330,1.0,nan
nphi_1_no_cut,1.4251026703029962e-34,-39684.51261272217,39684.51261272217,1656118982.9030085,40695.44179515696,1.0515972300164098,1.0254741488776837,2.457277660317738e-05,7985507.894912078,3.077171411831399e-12,-11.511848310987164,330,1.0,nan
nphi_1_no_cut,2.4244620170823406e-34,-114857.09003181722,114857.09003181722,13872829586.872587,117782.97664294526,1.0515972300164098,1.0254741488776837,8.490191269587821e-06,4693914.871736833,1.8087654977957234e-12,-11.742617734751507,330,1.0,nan
nphi_1_no_cut,4.124626382901331e-34,-332423.1709979325,332423.1709979325,116206925013.0302,340891.36834632553,1.0515972300164098,1.0254741488776837,2.933485834067992e-06,2759126.7522270894,1.0631935744525564e-12,-11.973387656772088,330,1.0,nan
nphi_1_no_cut,7.017038286703837e-34,-962089.1741456378,962089.1741456378,973374778945.0956,986597.5770014315,1.0515972300164098,1.0254741488776837,1.013584488053683e-06,1621884.5945383578,6.249424228252089e-13,-12.204159993217782,330,1.0,nan
nphi_1_no_cut,1.1937766417144455e-33,-2784274.4947711197,2784274.4947711197,8152175707060.446,2855201.5177672566,1.0515972300164098,1.0254741488776837,3.5023797577061793e-07,953446.4400904034,3.673389097109736e-13,-12.434933067359097,330,1.0,nan
nphi_1_no_cut,2.0309176209047304e-33,-8056189.936164844,8056189.936164844,68250969837983.31,8261414.517985604,1.0515972300164098,1.0254741488776837,1.2104464650973982e-07,560624.4730209175,2.159103862474864e-13,-12.665726465671897,330,1.0,nan
nphi_1_no_cut,3.4551072945922324e-33,-23297989.099123534,23297989.099123534,570803081402890.6,23891485.54198526,1.0515972300164098,1.0254741488776837,4.1855915499380255e-08,329843.41139739245,1.2689632126364536e-13,-12.896550967960906,330,1.0,nan
nphi_1_no_cut,5.878016072274876e-33,-67273536.76029076,67273536.76029076,4759243815452916.0,68987272.85125072,1.0515972300164098,1.0254741488776837,1.449542732550371e-08,194396.59546763648,7.456626125901951e-14,-13.127457631822622,330,1.0,nan
nphi_1_no_cut,1e-32,-193396254.40762478,193396254.40762478,3.933195655455958e+16,198322859.384791,1.0515972300164098,1.0254741488776837,5.042283088808108e-09,115134.92058832839,4.379455914020287e-14,-13.358579841143422,330,1.0,nan
nphi_1_no_cut,1.7012542798525856e-32,-548858730.8604189,548858730.8604189,3.1678936076788454e+17,562840439.8831738,1.0515972300164098,1.0254741488776837,1.7767024704329444e-09,69178.36019616321,2.5682922598843046e-14,-13.590355557070119,330,1.0,nan
nphi_1_no_cut,2.89426612471674e-32,-1499842672.2617881,1499842672.2617881,2.36559745732495e+18,1538049887.788088,1.0515972300164098,1.0254741488776837,6.501739689589183e-10,43467.17798717008,1.4957814127036863e-14,-13.825131867830311,330,1.0,nan
nphi_1_no_cut,4.9238826317067517e-32,-3654765863.9638386,3654765863.9638386,1.4046513898508483e+19,3747867913.69553,1.0515972300164098,1.0254741488776837,2.6681836794348625e-10,30760.275110640345,8.674121638502206e-15,-14.061774491968224,330,1.0,nan
nphi_1_no_cut,8.376776400682924e-32,-6040875794.899543,6040875794.899543,3.83750757937236e+19,6194761964.25041,1.0515972300164098,1.0254741488776837,1.614267030389446e-10,32392.66516449916,4.983433818093507e-15,-14.30247130496151,330,1.0,nan
nphi_1_no_cut,1.4251026703029963e-31,456820772.20893806,456820772.20893806,2.1945279711169434e+17,468457892.57060695,1.0515972300164098,1.0254741488776837,2.1346635756580363e-09,38389.384829169794,5.560556870492057e-14,-13.254881713153297,330,1.0,nan
nphi_1_no_cut,2.4244620170823406e-31,-324525738.507442,324525738.507442,1.1075101810317974e+17,332792755.48482084,1.0515972300164098,1.0254741488776837,3.0048731035120488e-09,37305.51548322822,8.054769018975161e-14,-13.093946909027856,330,1.0,nan
nphi_1_no_cut,4.124626382901364e-31,4211369702.025738,4211369702.025738,1.865074439370753e+19,4318650760.794108,1.0515972300164098,1.0254741488776837,2.3155380126549554e-10,38462.49563845566,6.020249009374808e-15,-14.220385545094189,330,1.0,nan
nphi_1_no_cut,7.0170382867038365e-31,-4840490436.70322,4840490436.70322,2.463928870579605e+19,4963797810.728803,1.0515972300164098,1.0254741488776837,2.0145864882703117e-10,37581.06875917956,5.360641819900954e-15,-14.270783209905318,330,1.0,nan
nphi_1_no_cut,1.1937766417144357e-30,4675447428.029609,4675447428.029609,2.2987714227414495e+19,4794550471.881019,1.0515972300164098,1.0254741488776837,2.0857012682727601e-10,36772.881478621755,5.6718461659995325e-15,-14.246275556767786,330,1.0,nan
nphi_1_no_cut,2.0309176209047306e-30,-4015721579.3411074,4015721579.3411074,1.6958077755799357e+19,4118018668.70457,1.0515972300164098,1.0254741488776837,2.42835227435862e-10,37211.86999393767,6.525746421113028e-15,-14.185369806130582,330,1.0,nan
