mass_eV,lambda_osc_Mpc,N_osc_full,N_osc_patchy
4.99450511585512e-28,0.699910620276837,7164.703104291912,1319.897647378424
5.542664520663119e-28,0.6306907373848726,7951.047156039318,1464.7597091866353
6.150985788580504e-28,0.5683165745731167,8823.694430504722,1625.5207439136861
6.826071834272379e-28,0.5121111026202109,9792.116921829893,1803.925703527818
7.575250258771951e-28,0.4614642492590989,10866.826199159685,2001.911052831912
8.40665288561835e-28,0.4158262772564644,12059.487502593545,2221.6257884751294
9.329304026284696e-28,0.3747018173879927,13383.046361453346,2465.454764853708
1.0353218432956616e-27,0.3376444915415262,14851.869109221318,2736.044580087435
1.1489510001873063e-27,0.30425206758548534,16481.898820343664,3036.332303046745
1.2750512407130181e-27,0.274162093411961,18290.828361487682,3369.5773532427625
1.4149912974345788e-27,0.24704796276498758,20298.29243560564,3739.39687961473
1.5702901247293774e-27,0.22261537015119676,22526.080703315594,4149.805022227951
1.742633386009647e-27,0.20059911635336022,24998.374294884234,4605.256483040813
1.933891750455224e-27,0.18076022987280074,27742.008279991092,5110.6948786724115
2.1461411978584103e-27,0.16288337305589615,30786.762944204685,5671.6064000071365
2.3816855519761606e-27,0.14677450474994455,34165.68703377775,6294.079361074591
2.643081486974103e-27,0.1322587741180847,37915.456477368345,6984.870283568213
2.9331662783900602e-27,0.1191786227520895,42076.77247836305,7751.47723430437
3.255088599835043e-27,0.10739207448273894,46694.80329882568,8602.22121165053
3.612342699709438e-27,0.09677119432481236,51819.67453034278,9546.336464318116
4.008806328898464e-27,0.08720069982963083,57507.01317330886,10594.070722866601
4.448782831127576e-27,0.07857670977227678,63818.55143028128,11756.796431867231
4.937047852839024e-27,0.07080561659137667,70822.7967671573,13047.134190073282
5.478901179593956e-27,0.06380307034252919,78595.7755152375,14479.089738457094
6.0802242616494274e-27,0.057493063136879866,87221.85808547746,16068.205983027146
6.747544053110686e-27,0.051807104127055484,96794.6747520579,17831.731702527733
7.48810385759e-27,0.046683476085480805,107418.13194549059,19788.808772230397
8.30994194935342e-27,0.04206656550574324,119207.54008643025,21960.67993600393
9.22197882333434e-27,0.037906258955711515,132290.86520205787,24370.91938188682
1.0234114021054528e-26,0.03415739913022577,146810.11791049637,27045.688623906197
