mass_eV,tau,delta_y,b,Rbar_Mpc,siglnR,A_model,z_re,Reff_Mpc,L_peak_surrogate,siglnL_surrogate,D_peak_surrogate,A_tau_eff,max_patchy_budget_fraction,L_at_max_fraction,min_scale_factor_to_fit
2.0309176209047306e-27,0.068,14.7,1.0,8.0,0.409,0.05387661218976823,9.638258663672683,15.620209266732582,611.31676877214,0.409,1.924164721063151e-05,200280650500282.38,4.292669810665306e+23,100,2.3295525724234857e-24
5.878016072274924e-27,0.068,14.7,1.0,8.0,0.409,0.05387661218976823,9.638258663672683,15.620209266732582,611.31676877214,0.409,1.924164721063151e-05,202027735414180.88,4.3678879517889135e+23,100,2.2894360181342098e-24
1e-26,0.068,14.7,1.0,8.0,0.409,0.05387661218976823,9.638258663672683,15.620209266732582,611.31676877214,0.409,1.924164721063151e-05,-33906827797664.184,1.230336246502134e+22,100,8.127859378629348e-23
2.0309176209047306e-27,0.068,14.7,1.0,8.0,0.541,0.05387661218976823,9.638258663672683,25.79460964678585,370.1895856242757,0.541,1.924164721063151e-05,200280650500282.38,4.135684266928796e+26,100,2.4179795541853848e-27
5.878016072274924e-27,0.068,14.7,1.0,8.0,0.541,0.05387661218976823,9.638258663672683,25.79460964678585,370.1895856242757,0.541,1.924164721063151e-05,202027735414180.88,4.208151634919608e+26,100,2.376340224296846e-27
1e-26,0.068,14.7,1.0,8.0,0.541,0.05387661218976823,9.638258663672683,25.79460964678585,370.1895856242757,0.541,1.924164721063151e-05,-33906827797664.184,1.1853421022621092e+25,100,8.436383033147966e-26
2.0309176209047306e-27,0.068,14.7,1.0,8.0,0.693,0.05387661218976823,9.638258663672683,54.622044226397186,174.81762156145936,0.693,1.924164721063151e-05,200280650500282.38,5.57758183625749e+27,100,1.7928916676747349e-28
5.878016072274924e-27,0.068,14.7,1.0,8.0,0.693,0.05387661218976823,9.638258663672683,54.622044226397186,174.81762156145936,0.693,1.924164721063151e-05,202027735414180.88,5.675314798770873e+27,100,1.7620167963485907e-28
1e-26,0.068,14.7,1.0,8.0,0.693,0.05387661218976823,9.638258663672683,54.622044226397186,174.81762156145936,0.693,1.924164721063151e-05,-33906827797664.184,1.5986091182531356e+26,100,6.25543785896042e-27
2.0309176209047306e-27,0.068,14.7,2.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,3.848329442126302e-05,200280650500282.38,2.740677001579372e+21,100,3.648733504253618e-22
5.878016072274924e-27,0.068,14.7,2.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,3.848329442126302e-05,202027735414180.88,2.7887004085898146e+21,100,3.5858997148628035e-22
1e-26,0.068,14.7,2.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,3.848329442126302e-05,-33906827797664.184,7.855144708824646e+19,100,1.2730510220602017e-20
2.0309176209047306e-27,0.068,14.7,2.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,3.848329442126302e-05,200280650500282.38,6.932280232392407e+25,100,1.442526797066438e-26
5.878016072274924e-27,0.068,14.7,2.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,3.848329442126302e-05,202027735414180.88,7.053750845280676e+25,100,1.4176854583247035e-26
1e-26,0.068,14.7,2.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,3.848329442126302e-05,-33906827797664.184,1.9868836917369913e+24,100,5.033007237206578e-25
2.0309176209047306e-27,0.068,14.7,2.0,5.0,0.693,0.05387661218976823,9.638258663672683,34.138777641498244,279.70819449833493,0.693,3.848329442126302e-05,200280650500282.38,5.130777969219019e+27,100,1.9490221677867986e-28
5.878016072274924e-27,0.068,14.7,2.0,5.0,0.693,0.05387661218976823,9.638258663672683,34.138777641498244,279.70819449833493,0.693,3.848329442126302e-05,202027735414180.88,5.220681828212264e+27,100,1.915458618060303e-28
1e-26,0.068,14.7,2.0,5.0,0.693,0.05387661218976823,9.638258663672683,34.138777641498244,279.70819449833493,0.693,3.848329442126302e-05,-33906827797664.184,1.4705491888989256e+26,100,6.800180555325392e-27
2.0309176209047306e-27,0.068,14.7,2.0,6.0,0.409,0.05387661218976823,9.638258663672683,11.715156950049437,815.0890250295199,0.409,3.848329442126302e-05,200280650500282.38,2.979486302409952e+22,100,3.3562832599403187e-23
5.878016072274924e-27,0.068,14.7,2.0,6.0,0.409,0.05387661218976823,9.638258663672683,11.715156950049437,815.0890250295199,0.409,3.848329442126302e-05,202027735414180.88,3.03169423617968e+22,100,3.298485672025181e-23
1e-26,0.068,14.7,2.0,6.0,0.409,0.05387661218976823,9.638258663672683,11.715156950049437,815.0890250295199,0.409,3.848329442126302e-05,-33906827797664.184,8.539603918996595e+20,100,1.1710144984306252e-21
