tau,delta_y,b,Rbar_Mpc,siglnR,A_model,z_re,Reff_Mpc,L_peak_surrogate,siglnL_surrogate,D_peak_surrogate,L,D_shape,C_shape
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,90,7.858750560142597e-13,6.029058126041185e-16
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,91,9.196827510991574e-13,6.9022182859206e-16
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,92,1.0736543033391357e-12,7.884489181545806e-16
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,93,1.2504289489316714e-12,8.98727613772534e-16
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,94,1.4529377612263381e-12,1.0222930787887717e-15
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,95,1.6844296986245785e-12,1.1604806944490011e-15
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,96,1.94849936828785e-12,1.314731808620589e-15
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,97,2.2491165699558446e-12,1.4865996409089743e-15
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,98,2.5906576834643983e-12,1.6777553383503825e-15
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,99,2.9779389626478698e-12,1.889994175331991e-15
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,100,3.4162517972129498e-12,2.12524189087864e-15
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,2,1.804080297668765e-29,1.8892284698807596e-29
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,3,3.615678687621975e-26,1.89316493379573e-26
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,4,5.662458430243553e-24,1.778913780571074e-24
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,5,2.3489072239266676e-22,4.9195397857680095e-23
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,6,4.344178060182006e-21,6.498875180835118e-22
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,7,4.684836492542004e-20,5.256374252942619e-21
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,8,3.442186097677323e-19,3.0038740435422217e-20
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,9,1.9004764542599884e-18,1.3267828593385684e-19
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,10,8.417560683449103e-18,4.808099418958178e-19
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,11,3.1308855849922893e-17,1.490298053491206e-18
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,12,1.0108938695972594e-16,4.071559941391934e-18
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,13,2.904389446220929e-16,1.0026822579572965e-17
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,14,7.567360307463993e-16,2.2641489094281788e-17
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,15,1.8146938050688238e-15,4.7508572720992707e-17
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,16,4.052694080701885e-15,9.361701434691091e-17
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,17,8.509289610654455e-15,1.747236714254901e-16
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,18,1.692891263413106e-14,3.110160676295297e-16
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,19,3.2117901867697574e-14,5.310598134540874e-16
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,20,5.842339693546343e-14,8.740119743343446e-16
0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,21,1.02358354683635e-13,1.3920703684313685e-15
